iter	Accuracy	Logloss
0	0.7701149425	0.6471816617
1	0.802507837	0.603878876
2	0.8119122257	0.574513202
3	0.8129571578	0.5395987408
4	0.842215256	0.513078101
5	0.8432601881	0.4903207902
6	0.8453500522	0.4690216114
7	0.8505747126	0.4538017633
8	0.8474399164	0.4438192877
9	0.8589341693	0.4373241631
10	0.8578892372	0.4301620217
11	0.854754441	0.4223593025
12	0.8599791014	0.4118533958
13	0.8599791014	0.4014401904
14	0.868338558	0.3929455816
15	0.8725182863	0.3845989657
16	0.8714733542	0.3782424321
17	0.8746081505	0.3705056189
18	0.8787878788	0.3660524812
19	0.8766980146	0.3608912855
20	0.8756530825	0.3588435707
21	0.8766980146	0.354066389
22	0.8777429467	0.350622463
23	0.8777429467	0.3462356331
24	0.8777429467	0.3393298679
25	0.8798328109	0.3357787008
26	0.8808777429	0.3329048968
27	0.8808777429	0.3304571805
28	0.8871473354	0.3256382602
29	0.8871473354	0.3244036234
30	0.8881922675	0.3226629935
31	0.8871473354	0.3216702216
32	0.8892371996	0.3198475023
33	0.8861024033	0.318500632
34	0.8892371996	0.3158914142
35	0.8902821317	0.315378981
36	0.8881922675	0.3147369204
37	0.8902821317	0.312118981
38	0.8902821317	0.3107312333
39	0.8881922675	0.3099578585
40	0.8902821317	0.308167942
41	0.89446186	0.3061360573
42	0.8955067921	0.305214364
43	0.8934169279	0.3017723909
44	0.8934169279	0.3012379528
45	0.8934169279	0.3007616762
46	0.8955067921	0.2980026774
47	0.8986415883	0.2972531468
48	0.8975966562	0.2967911883
49	0.8986415883	0.2950309622
50	0.8975966562	0.2942577979
51	0.8986415883	0.2940511126
52	0.8975966562	0.2930770043
53	0.8986415883	0.292322948
54	0.8986415883	0.2915993252
55	0.8996865204	0.290207658
56	0.9007314525	0.2885758201
57	0.9007314525	0.2868432566
58	0.8996865204	0.2862546575
59	0.9017763845	0.2856908193
60	0.9028213166	0.2843913261
61	0.9028213166	0.284047684
62	0.9028213166	0.2837894356
63	0.9038662487	0.2828000191
64	0.9038662487	0.2819771246
65	0.9028213166	0.2797681964
66	0.9049111808	0.2784321963
67	0.9059561129	0.2777881995
68	0.9059561129	0.2775104568
69	0.9049111808	0.2764273973
70	0.9028213166	0.2749993081
71	0.9038662487	0.2742497441
72	0.9049111808	0.273294873
73	0.9059561129	0.2726152038
74	0.9028213166	0.2711446008
75	0.9070010449	0.2703905241
76	0.908045977	0.2694924092
77	0.9070010449	0.2683012501
78	0.9070010449	0.2667996172
79	0.9090909091	0.2659793526
80	0.9101358412	0.2654009112
81	0.9070010449	0.2642421592
82	0.9090909091	0.2630664993
83	0.9090909091	0.2629484437
84	0.9101358412	0.261673033
85	0.9101358412	0.2598975592
86	0.9101358412	0.259408726
87	0.9090909091	0.2584134764
88	0.9090909091	0.2582441697
89	0.9090909091	0.25663152
90	0.9132706374	0.255063129
91	0.9111807732	0.2541071356
92	0.9122257053	0.2535915918
93	0.9132706374	0.2519489734
94	0.9122257053	0.2502093996
95	0.9132706374	0.2491694681
96	0.9143155695	0.249143767
97	0.9132706374	0.2488349556
98	0.9132706374	0.2488296101
99	0.9132706374	0.24843666
100	0.9132706374	0.2476406296
101	0.9143155695	0.2469537084
102	0.9153605016	0.2460328124
103	0.9153605016	0.2443901775
104	0.9164054336	0.242990728
105	0.9164054336	0.2429342739
106	0.9143155695	0.2425373459
107	0.9143155695	0.2424259071
108	0.9195402299	0.2406816397
109	0.9174503657	0.2403222329
110	0.9195402299	0.2399176605
111	0.920585162	0.2393288752
112	0.920585162	0.2380173327
113	0.9195402299	0.2365740372
114	0.9195402299	0.2356236326
115	0.9184952978	0.2344114504
116	0.9195402299	0.2340408452
117	0.920585162	0.2337587265
118	0.9195402299	0.2337144343
119	0.921630094	0.2329923792
120	0.921630094	0.2318172431
121	0.921630094	0.230916629
122	0.9258098224	0.2300479967
123	0.9247648903	0.2292944856
124	0.9247648903	0.2292241965
125	0.9258098224	0.2289865026
126	0.9268547544	0.2284419851
127	0.9268547544	0.2279386622
128	0.9268547544	0.2271722571
129	0.9258098224	0.2268026378
130	0.9258098224	0.2256284707
131	0.9268547544	0.224976619
132	0.9268547544	0.224535516
133	0.9268547544	0.2241964823
134	0.9278996865	0.2236041206
135	0.9289446186	0.2225493215
136	0.9289446186	0.2217737138
137	0.9299895507	0.2204338794
138	0.9299895507	0.2201196137
139	0.9299895507	0.2197050778
140	0.9299895507	0.2190254283
141	0.9310344828	0.2187241181
142	0.9310344828	0.2185576344
143	0.9310344828	0.2179601388
144	0.9310344828	0.217594688
145	0.9320794148	0.2174081172
146	0.9320794148	0.2165231339
147	0.9331243469	0.2153088666
148	0.9331243469	0.2152289542
149	0.9320794148	0.2143248703
150	0.9320794148	0.2129759878
151	0.9320794148	0.212857047
152	0.9320794148	0.2127256133
153	0.9320794148	0.2118362437
154	0.9320794148	0.2114023448
155	0.9320794148	0.2107386466
156	0.9320794148	0.2100927486
157	0.9320794148	0.2095788285
158	0.9320794148	0.2095690907
159	0.9320794148	0.2082561792
160	0.9320794148	0.2075198452
161	0.9320794148	0.207181761
162	0.9331243469	0.2058883678
163	0.9331243469	0.2050662137
164	0.9331243469	0.2049319572
165	0.934169279	0.2040255952
166	0.934169279	0.2037832216
167	0.934169279	0.2029060847
168	0.934169279	0.2020515251
169	0.934169279	0.2011165254
170	0.9352142111	0.2003823293
171	0.9352142111	0.1999678153
172	0.9352142111	0.1997652985
173	0.9352142111	0.1993290777
174	0.9352142111	0.1986307603
175	0.9352142111	0.1981920255
176	0.9352142111	0.1976767451
177	0.9352142111	0.197344121
178	0.9352142111	0.1973149879
179	0.934169279	0.1969930171
180	0.9373040752	0.1960953795
181	0.9373040752	0.1954202341
182	0.9362591432	0.1953007804
183	0.9383490073	0.1943746527
184	0.9383490073	0.1932825944
185	0.9393939394	0.1920732509
186	0.9393939394	0.191577004
187	0.9404388715	0.1912386
188	0.9404388715	0.190656038
189	0.9404388715	0.1897667083
190	0.9404388715	0.1896026485
191	0.9404388715	0.188970906
192	0.9404388715	0.1889028666
193	0.9404388715	0.1880148832
194	0.9404388715	0.1873826636
195	0.9404388715	0.1870818166
196	0.9404388715	0.1867328966
197	0.9393939394	0.1861524015
198	0.9393939394	0.1856737021
199	0.9393939394	0.1854038656
200	0.9414838036	0.1846621004
201	0.9414838036	0.1838410719
202	0.9414838036	0.1833497718
203	0.9414838036	0.1831692352
204	0.9414838036	0.1829188128
205	0.9414838036	0.1824158442
206	0.9414838036	0.1816043421
207	0.9414838036	0.1808459313
208	0.9414838036	0.1806482301
209	0.9414838036	0.1799120332
210	0.9414838036	0.179544876
211	0.9414838036	0.1794350945
212	0.9414838036	0.1784655968
213	0.9414838036	0.1781341331
214	0.9425287356	0.1776358406
215	0.9425287356	0.1773618659
216	0.9425287356	0.1771291423
217	0.9425287356	0.1769650615
218	0.9435736677	0.1758443782
219	0.9435736677	0.1750536965
220	0.9435736677	0.174553466
221	0.9435736677	0.1739997903
222	0.9435736677	0.1735695343
223	0.9435736677	0.1731723273
224	0.9456635319	0.1725202702
225	0.9456635319	0.1723646369
226	0.9467084639	0.1712664386
227	0.9467084639	0.1699021535
228	0.9467084639	0.1693257546
229	0.9467084639	0.1684465501
230	0.9467084639	0.1684058438
231	0.9467084639	0.1679350446
232	0.9467084639	0.1674128569
233	0.9467084639	0.1671080775
234	0.9467084639	0.1669708218
235	0.947753396	0.1668686589
236	0.947753396	0.1661166974
237	0.947753396	0.1652705969
238	0.947753396	0.1650289661
239	0.947753396	0.1645164732
240	0.947753396	0.1644247009
241	0.947753396	0.1642260474
242	0.947753396	0.1640245765
243	0.947753396	0.1636582497
244	0.947753396	0.1634439821
245	0.947753396	0.1630459427
246	0.947753396	0.1625778535
247	0.947753396	0.1622568906
248	0.947753396	0.1614286354
249	0.947753396	0.1612254365
250	0.947753396	0.1611557588
251	0.9487983281	0.1609773542
252	0.9487983281	0.1606532812
253	0.9487983281	0.1603675161
254	0.9487983281	0.1601141983
255	0.9498432602	0.1596723076
256	0.9498432602	0.1586932937
257	0.9487983281	0.1577741307
258	0.9498432602	0.1576611548
259	0.9487983281	0.1572347488
260	0.9498432602	0.157002633
261	0.9498432602	0.1564311322
262	0.9498432602	0.156218045
263	0.9508881923	0.1554608545
264	0.9508881923	0.1554342683
265	0.9508881923	0.1552613218
266	0.9519331243	0.1546406558
267	0.9519331243	0.1543665037
268	0.9519331243	0.1541564952
269	0.9529780564	0.1536186991
270	0.9540229885	0.1532428237
271	0.9540229885	0.1528031868
272	0.9540229885	0.1524957588
273	0.9540229885	0.152255058
274	0.9540229885	0.1517696325
275	0.9529780564	0.1512623671
276	0.9529780564	0.1512048105
277	0.9529780564	0.1506287573
278	0.9529780564	0.1502845782
279	0.9529780564	0.1496398781
280	0.9529780564	0.1492962797
281	0.9529780564	0.149199629
282	0.9529780564	0.148835491
283	0.9529780564	0.1485086107
284	0.9529780564	0.148152138
285	0.9529780564	0.148077345
286	0.9529780564	0.147909239
287	0.9550679206	0.1473227896
288	0.9540229885	0.147039424
289	0.9550679206	0.1463316018
290	0.9550679206	0.145665148
291	0.9550679206	0.1451318783
292	0.9550679206	0.144767579
293	0.9550679206	0.1445780791
294	0.9561128527	0.1440414436
295	0.9561128527	0.1436964486
