iter	Passed	Remaining
0	164	82056
1	205	51254
2	241	40059
3	273	33868
4	302	29990
5	358	29478
6	392	27642
7	432	26593
8	461	25202
9	484	23725
10	511	22721
11	540	21977
12	571	21419
13	620	21528
14	651	21057
15	686	20756
16	731	20779
17	758	20298
18	787	19939
19	817	19611
20	843	19238
21	872	18946
22	900	18681
23	931	18479
24	963	18303
25	991	18077
26	1020	17884
27	1051	17726
28	1084	17612
29	1109	17382
30	1136	17199
31	1163	17019
32	1188	16825
33	1214	16651
34	1239	16461
35	1251	16124
36	1265	15838
37	1293	15723
38	1376	16275
39	1453	16716
40	1512	16932
41	1539	16783
42	1555	16529
43	1583	16414
44	1610	16288
45	1626	16055
46	1655	15954
47	1684	15866
48	1706	15703
49	1730	15571
50	1754	15443
51	1768	15235
52	1792	15117
53	1816	14999
54	1840	14888
55	1868	14816
56	1900	14770
57	1931	14721
58	1959	14647
59	1979	14518
60	2007	14446
61	2026	14315
62	2041	14159
63	2070	14105
64	2099	14050
65	2127	13990
66	2155	13931
67	2182	13867
68	2205	13775
69	2233	13720
70	2261	13666
71	2289	13611
72	2317	13555
73	2351	13534
74	2382	13499
75	2411	13451
76	2440	13404
77	2467	13352
78	2496	13304
79	2528	13273
80	2555	13221
81	2583	13170
82	2612	13127
83	2636	13058
84	2664	13006
85	2691	12956
86	2720	12913
87	2754	12893
88	2770	12794
89	2800	12758
90	2830	12722
91	2861	12691
92	2894	12668
93	2926	12639
94	2958	12613
95	2994	12601
96	3007	12496
97	3038	12462
98	3055	12376
99	3086	12347
100	3115	12309
101	3149	12289
102	3181	12263
103	3213	12235
104	3244	12204
105	3256	12105
106	3288	12078
107	3322	12061
108	3364	12067
109	3399	12053
110	3432	12027
111	3463	11997
112	3497	11978
113	3529	11952
114	3561	11922
115	3592	11891
116	3623	11860
117	3652	11825
118	3665	11737
119	3698	11710
120	3729	11682
121	3771	11685
122	3822	11717
123	3879	11764
124	3934	11802
125	4032	11970
126	4156	12207
127	4241	12325
128	4327	12445
129	4390	12495
130	4419	12448
131	4450	12407
132	4480	12363
133	4504	12304
134	4541	12278
135	4620	12367
136	4702	12459
137	4782	12545
138	4867	12642
139	4951	12733
140	5007	12750
141	5065	12770
142	5160	12883
143	5231	12933
144	5275	12916
145	5310	12876
146	5344	12835
147	5374	12783
148	5404	12730
149	5485	12800
150	5519	12757
151	5579	12774
152	5663	12844
153	5724	12861
154	5807	12925
155	5891	12991
156	5962	13025
157	5987	12961
158	6004	12878
159	6044	12843
160	6092	12827
161	6214	12966
162	6277	12979
163	6309	12927
164	6334	12861
165	6361	12799
166	6387	12737
167	6429	12706
168	6466	12665
169	6510	12637
170	6554	12611
171	6602	12591
172	6642	12555
173	6686	12527
174	6726	12491
175	6769	12461
176	6814	12436
177	6856	12403
178	6897	12368
179	6935	12328
180	6982	12306
181	7029	12281
182	7081	12267
183	7132	12249
184	7184	12232
185	7238	12219
186	7283	12190
187	7329	12164
188	7402	12180
189	7464	12179
190	7501	12136
191	7541	12098
192	7583	12062
193	7625	12027
194	7663	11986
195	7701	11944
196	7738	11903
197	7777	11862
198	7814	11819
199	7858	11788
200	7900	11753
201	7942	11716
